CHROM	POS	WEIR_AND_COCKERHAM_FST	locus.length	pop0.samples	pop1.samples
dDocent_Contig_13740	23	0.022074	190	21	29
dDocent_Contig_13748	10	-0.00671695	190	20	29
dDocent_Contig_1375	34	0.0347455	190	9	21
dDocent_Contig_13763	18	0	190	11	9
dDocent_Contig_13764	51	0.0260074	190	6	8
dDocent_Contig_13772	19	-0.08	190	6	6
dDocent_Contig_13775	178	0.0177652	190	10	14
dDocent_Contig_13776	49	0	190	20	25
dDocent_Contig_13779	27	0.0985211	190	11	6
dDocent_Contig_1378	12	-0.00816131	190	12	5
dDocent_Contig_13782	39	0.508129	190	9	23
dDocent_Contig_13785	35	-0.0198203	190	21	29
dDocent_Contig_13786	19	0	190	19	23
dDocent_Contig_1379	35	0.206114	190	21	29
dDocent_Contig_13792	12	0.0577889	190	16	26
dDocent_Contig_13794	28	0.270386	190	5	2
dDocent_Contig_13797	26	0.318029	190	11	15
dDocent_Contig_13799	59	0.0192585	190	7	9
dDocent_Contig_13802	32	-0.0856031	190	9	3
dDocent_Contig_13804	9	0.144005	190	11	13
dDocent_Contig_13805	20	-0.0386697	190	5	16
dDocent_Contig_13807	12	0.183959	190	20	24
dDocent_Contig_13811	19	-0.0169124	190	9	14
dDocent_Contig_13815	86	0	190	5	15
dDocent_Contig_13817	19	0.0233112	190	14	18
dDocent_Contig_13818	39	0	190	18	25
dDocent_Contig_1382	8	0.01607	190	9	14
dDocent_Contig_13821	18	0.143209	190	21	29
dDocent_Contig_13828	9	-0.060424	190	4	9
dDocent_Contig_13829	46	0	190	11	18
dDocent_Contig_13830	28	0.494937	190	18	16
dDocent_Contig_13833	86	0.00355278	190	10	19
dDocent_Contig_13836	113	0.253549	190	9	11
dDocent_Contig_13838	36	0.0975062	190	10	17
dDocent_Contig_13840	9	0.0336112	190	21	29
dDocent_Contig_13841	170	0.00934173	190	20	24
dDocent_Contig_13842	65	0	190	7	9
dDocent_Contig_13844	111	0.161303	190	7	9
dDocent_Contig_13847	22	0.288918	190	11	22
dDocent_Contig_13849	11	0.114448	190	10	16
dDocent_Contig_1385	15	0.108053	190	21	29
dDocent_Contig_13851	38	0	190	17	29
dDocent_Contig_13855	12	0.0578158	190	11	20
dDocent_Contig_13856	54	0.3848	190	7	10
dDocent_Contig_13858	46	0.0326559	190	21	29
dDocent_Contig_13873	145	0.357338	190	9	15
dDocent_Contig_1388	15	0.222844	190	17	28
dDocent_Contig_13883	170	-0.00804162	190	21	29
dDocent_Contig_13884	43	0.227208	190	17	22
dDocent_Contig_1389	30	0.0654807	190	19	23
dDocent_Contig_13898	37	0.0477509	190	8	16
dDocent_Contig_13904	20	0.0751275	190	21	29
dDocent_Contig_13909	115	0.362911	190	6	11
dDocent_Contig_13920	8	-0.0294852	190	8	25
dDocent_Contig_13922	17	0	190	8	10
dDocent_Contig_13923	107	0.0477509	190	8	16
dDocent_Contig_13927	8	0.0759212	190	21	29
dDocent_Contig_13929	35	0.0177652	190	10	14
dDocent_Contig_13932	25	0.250778	190	7	14
dDocent_Contig_13939	82	0	190	10	12
dDocent_Contig_1394	12	0.0217638	190	21	29
dDocent_Contig_13940	61	0	190	8	3
dDocent_Contig_13943	17	0.11834	190	21	29
dDocent_Contig_13948	10	0.311392	190	8	16
dDocent_Contig_13951	21	0.0740741	190	10	10
dDocent_Contig_13953	77	-0.0187124	190	21	29
dDocent_Contig_13954	23	0.0529812	190	21	29
dDocent_Contig_13956	172	0.0642674	190	8	13
dDocent_Contig_13959	20	0	190	13	8
dDocent_Contig_13964	15	0.0436419	190	18	25
dDocent_Contig_13965	85	-0.00579701	190	21	29
dDocent_Contig_13966	25	0.256293	190	21	29
dDocent_Contig_13967	87	0.0277778	190	19	19
dDocent_Contig_13972	109	0.332245	190	21	29
dDocent_Contig_13973	10	0	190	13	21
dDocent_Contig_13977	38	0.127873	190	5	2
dDocent_Contig_1398	53	0.18893	190	20	28
dDocent_Contig_13981	179	0.0508284	190	18	29
dDocent_Contig_13983	12	0.0429405	190	21	29
dDocent_Contig_13984	56	-0.0408163	190	6	2
dDocent_Contig_13985	136	0.122598	190	21	29
dDocent_Contig_13987	29	-0.114122	190	6	5
dDocent_Contig_1399	106	0.0124941	190	21	26
dDocent_Contig_13993	25	0.127709	190	21	29
dDocent_Contig_140	54	0.514706	190	11	3
dDocent_Contig_14002	58	0.00947149	190	18	25
dDocent_Contig_14004	11	0	190	9	13
dDocent_Contig_14006	132	0	190	12	19
dDocent_Contig_14007	87	-0.0100443	190	18	23
dDocent_Contig_14008	29	0.0178198	190	12	18
dDocent_Contig_1401	58	0.0820124	190	8	9
dDocent_Contig_14012	14	-0.0275514	190	11	20
dDocent_Contig_14020	28	0.0215716	190	21	29
dDocent_Contig_14025	75	0	190	16	17
dDocent_Contig_14027	147	0.030968	190	21	29
dDocent_Contig_14035	44	-0.00968814	190	16	17
dDocent_Contig_14039	16	-0.00837009	190	18	28
dDocent_Contig_1404	83	0.0518387	190	8	5
dDocent_Contig_14043	21	0.101928	190	18	26
dDocent_Contig_1405	11	-1.05	190	1	5
dDocent_Contig_14058	35	0.0529812	190	21	29
dDocent_Contig_1406	19	0.0265776	190	19	27
dDocent_Contig_14060	43	-0.00157102	190	12	18
dDocent_Contig_14061	79	0.00300912	190	18	20
dDocent_Contig_14071	78	0.118216	190	13	15
dDocent_Contig_14072	65	0.796578	190	8	22
dDocent_Contig_14073	108	0	190	14	14
dDocent_Contig_14076	80	0.0348678	190	7	11
dDocent_Contig_14079	68	0.0409987	190	20	29
dDocent_Contig_1408	153	0.0697502	190	8	21
dDocent_Contig_14088	44	0.0897432	190	11	19
dDocent_Contig_14091	39	0.0173664	190	16	27
dDocent_Contig_14092	47	0.152804	190	11	14
dDocent_Contig_14097	114	-0.0204675	190	6	14
dDocent_Contig_14098	64	-0.0228206	190	18	27
dDocent_Contig_14099	26	0	190	12	25
dDocent_Contig_14103	26	0.0465116	190	6	10
dDocent_Contig_14107	18	0.269159	190	21	29
dDocent_Contig_14108	9	0	190	20	29
dDocent_Contig_14109	34	0	190	9	1
dDocent_Contig_14115	142	0.122306	190	21	29
dDocent_Contig_14117	17	0	190	10	20
dDocent_Contig_14118	8	0.00826446	190	11	12
dDocent_Contig_14123	84	-0.060424	190	4	9
dDocent_Contig_14129	135	0	190	8	4
dDocent_Contig_14130	10	0.182679	190	8	7
dDocent_Contig_14132	14	0.484913	190	21	29
dDocent_Contig_14134	56	0.0439265	190	16	20
dDocent_Contig_14136	9	0.0488163	190	21	29
dDocent_Contig_1414	24	-0.00579701	190	21	29
dDocent_Contig_14144	23	0.362096	190	17	27
dDocent_Contig_14146	19	0.101986	190	10	9
dDocent_Contig_1415	62	0.0641509	190	6	12
dDocent_Contig_14150	16	0.186992	190	12	25
dDocent_Contig_14151	56	0.101887	190	8	17
dDocent_Contig_14152	85	0.0714286	190	8	8
dDocent_Contig_14154	20	0.173206	190	21	29
dDocent_Contig_14155	10	0.00987235	190	21	29
dDocent_Contig_14156	161	0.321854	190	21	29
dDocent_Contig_14157	76	0.0158371	190	21	29
dDocent_Contig_14167	22	-0.0740741	190	6	3
dDocent_Contig_1417	10	0.034458	190	21	29
dDocent_Contig_14182	168	0	190	20	29
dDocent_Contig_14184	38	0.0201835	190	6	5
dDocent_Contig_14188	176	-0.0478677	190	7	4
dDocent_Contig_14191	117	0.199904	190	8	13
dDocent_Contig_14192	15	0	190	9	7
dDocent_Contig_14197	67	0.0275202	190	7	4
dDocent_Contig_1420	10	0.0370274	190	21	29
dDocent_Contig_14203	57	0	190	14	12
dDocent_Contig_14204	174	0	190	4	1
dDocent_Contig_14211	85	0.335968	190	4	14
dDocent_Contig_14215	43	0.591556	190	6	15
dDocent_Contig_14218	17	0.241132	190	13	25
dDocent_Contig_14219	51	0.0652956	190	21	29
dDocent_Contig_14220	49	0.0566017	190	5	14
dDocent_Contig_14222	81	0	190	21	29
dDocent_Contig_14223	106	0.647836	190	7	9
dDocent_Contig_14225	14	-0.0103429	190	21	29
dDocent_Contig_14227	67	-0.0523125	190	3	8
dDocent_Contig_1423	120	-0.0226513	190	9	19
dDocent_Contig_14231	13	0.0556092	190	6	8
dDocent_Contig_14232	120	0.152706	190	21	29
dDocent_Contig_14234	102	0.385805	190	9	15
dDocent_Contig_14235	69	0.0531525	190	9	21
dDocent_Contig_14239	56	0.0597196	190	8	7
dDocent_Contig_14244	27	0.0698755	190	19	25
dDocent_Contig_14247	108	0.00601727	190	21	29
dDocent_Contig_14251	25	0.0344552	190	13	29
dDocent_Contig_14252	109	0	190	1	3
dDocent_Contig_14253	130	-0.0588235	190	6	10
dDocent_Contig_14268	26	0	190	15	26
dDocent_Contig_14269	14	0	190	18	23
dDocent_Contig_14279	65	-0.00194197	190	21	29
dDocent_Contig_14284	61	0.20331	190	16	13
dDocent_Contig_14288	59	0.00784133	190	8	9
dDocent_Contig_14289	20	0.022694	190	12	20
dDocent_Contig_1429	125	0.0254784	190	21	29
dDocent_Contig_14291	119	-0.00489163	190	21	29
dDocent_Contig_14294	45	0.0175178	190	10	28
dDocent_Contig_14297	12	-0.04126	190	13	10
dDocent_Contig_14299	136	0.432082	190	21	29
dDocent_Contig_1430	181	0.239366	190	6	8
dDocent_Contig_14300	28	-0.0617184	190	7	2
dDocent_Contig_14303	38	0.31512	190	15	20
dDocent_Contig_14304	37	-0.0286328	190	14	20
dDocent_Contig_14309	9	0	190	20	25
dDocent_Contig_1431	55	0.0378274	190	16	20
dDocent_Contig_14312	77	0.419847	190	4	19
dDocent_Contig_14315	64	-0.0290713	190	12	22
dDocent_Contig_14317	31	0.226281	190	8	11
dDocent_Contig_14318	24	0	190	20	27
dDocent_Contig_1432	41	0.258649	190	10	21
dDocent_Contig_14326	76	0.0455555	190	14	16
dDocent_Contig_14328	36	-0.0157774	190	11	19
dDocent_Contig_1433	57	0.00596421	190	5	10
dDocent_Contig_14332	56	0.21305	190	12	18
dDocent_Contig_14335	21	0.0709761	190	9	10
dDocent_Contig_1434	30	0	190	5	2
dDocent_Contig_14341	138	0.208333	190	7	7
dDocent_Contig_14351	24	0.079878	190	15	28
dDocent_Contig_14352	136	0.00358219	190	21	29
dDocent_Contig_14353	27	-0.00795875	190	21	29
dDocent_Contig_1436	22	0.142845	190	21	29
dDocent_Contig_14361	39	0.0273862	190	7	10
dDocent_Contig_14363	65	0.568345	190	6	5
dDocent_Contig_14367	127	0	190	12	21
dDocent_Contig_1437	171	-0.00694375	190	20	26
dDocent_Contig_14374	11	0.1	190	6	6
dDocent_Contig_1438	159	0.0370578	190	5	7
dDocent_Contig_14380	44	0	190	12	16
dDocent_Contig_14384	10	0.149864	190	5	6
dDocent_Contig_14387	52	-0.0402477	190	8	6
dDocent_Contig_14390	46	-0.0171073	190	6	5
dDocent_Contig_14394	65	-0.0129821	190	13	22
dDocent_Contig_14396	76	0.0863163	190	9	12
dDocent_Contig_14399	66	0	190	7	7
dDocent_Contig_14403	133	-0.00956235	190	13	18
dDocent_Contig_14408	22	0.0410497	190	10	21
dDocent_Contig_14411	25	-0.00950943	190	12	16
dDocent_Contig_14413	105	0.129029	190	8	7
dDocent_Contig_14422	8	0.0106367	190	19	28
dDocent_Contig_14426	12	0.0260074	190	6	8
dDocent_Contig_14429	69	0.0209958	190	17	24
dDocent_Contig_14433	47	-0.00876742	190	18	29
dDocent_Contig_14439	48	0.114287	190	11	25
dDocent_Contig_14441	50	-0.048879	190	8	10
dDocent_Contig_14443	34	-0.0384129	190	16	22
dDocent_Contig_14448	33	0.182178	190	12	18
dDocent_Contig_14449	125	0.0534203	190	21	29
dDocent_Contig_1445	77	-0.00160592	190	10	11
dDocent_Contig_14450	22	0.0230459	190	17	14
dDocent_Contig_14453	10	0.224232	190	13	24
dDocent_Contig_14454	147	-0.0252343	190	6	9
dDocent_Contig_14457	68	-0.0595514	190	2	5
dDocent_Contig_14460	45	-0.00550801	190	21	29
dDocent_Contig_14464	70	0	190	14	9
dDocent_Contig_14467	49	0.112628	190	10	20
dDocent_Contig_1447	11	0.142327	190	9	21
dDocent_Contig_14473	10	0.16676	190	21	29
dDocent_Contig_14474	167	-1.43E-17	190	11	11
dDocent_Contig_14475	31	0	190	10	11
dDocent_Contig_14479	35	0.702362	190	13	18
dDocent_Contig_14481	16	-0.0408163	190	6	2
dDocent_Contig_14482	43	0.03592	190	21	29
dDocent_Contig_14484	109	0	190	9	12
dDocent_Contig_14485	26	-0.0557469	190	9	5
dDocent_Contig_14488	48	-0.0223527	190	8	14
dDocent_Contig_14491	120	0.115385	190	6	3
dDocent_Contig_14498	64	0.341124	190	20	25
dDocent_Contig_145	131	0.00830776	190	16	13
dDocent_Contig_14506	108	-0.0740741	190	6	3
dDocent_Contig_14508	22	0.000965244	190	21	29
dDocent_Contig_14515	9	0.107271	190	12	28
dDocent_Contig_14519	29	0	190	13	21
dDocent_Contig_1452	185	0	190	21	29
dDocent_Contig_14521	156	0.0753781	190	8	11
dDocent_Contig_14523	12	0.169995	190	21	29
dDocent_Contig_14524	58	0	190	6	6
dDocent_Contig_14527	21	0.342547	190	10	13
dDocent_Contig_14529	35	0	190	16	26
dDocent_Contig_14530	27	0.0867257	190	10	15
dDocent_Contig_14533	10	0.125842	190	8	14
dDocent_Contig_14536	19	-0.00523313	190	20	26
dDocent_Contig_14539	28	0.0559441	190	5	3
dDocent_Contig_1454	23	0.12395	190	17	24
dDocent_Contig_14541	14	0.0902789	190	9	19
dDocent_Contig_14542	22	0.285643	190	18	24
dDocent_Contig_14544	16	0	190	8	12
dDocent_Contig_14546	63	0	190	18	25
dDocent_Contig_14547	38	0.220664	190	10	16
dDocent_Contig_14551	34	0.25066	190	21	29
dDocent_Contig_14556	84	0.0717879	190	17	20
dDocent_Contig_14563	14	0.00173156	190	17	18
dDocent_Contig_14565	26	-0.0228677	190	14	18
dDocent_Contig_14568	14	-0.363636	190	7	1
dDocent_Contig_14570	167	0.129029	190	8	7
dDocent_Contig_14573	33	0.00305337	190	21	29
dDocent_Contig_14574	41	-1.17E-16	190	12	12
dDocent_Contig_14577	21	0.0493079	190	8	10
dDocent_Contig_1458	16	0.607668	190	11	25
dDocent_Contig_14587	22	0	190	8	22
dDocent_Contig_14589	25	-0.0284731	190	18	11
dDocent_Contig_14591	43	0.125842	190	8	14
dDocent_Contig_14596	136	0.0810604	190	10	14
dDocent_Contig_14599	41	0	190	7	5
dDocent_Contig_146	21	0	190	16	16
dDocent_Contig_14607	73	0.210002	190	21	29
dDocent_Contig_14612	30	0.0624926	190	10	11
dDocent_Contig_14622	119	0.116832	190	21	29
dDocent_Contig_14623	64	0.0124435	190	16	10
dDocent_Contig_14628	16	-0.00560307	190	10	9
dDocent_Contig_14634	69	0	190	10	6
dDocent_Contig_14649	40	0.418664	190	11	22
dDocent_Contig_14652	82	0.0118337	190	16	23
dDocent_Contig_14653	70	0.048457	190	7	13
dDocent_Contig_14658	26	0.0102123	190	21	29
dDocent_Contig_14660	174	0.0271617	190	21	29
dDocent_Contig_14668	126	-0.011002	190	11	15
dDocent_Contig_14672	11	0.00489662	190	10	22
dDocent_Contig_14674	121	0.179772	190	11	9
dDocent_Contig_1468	20	0.00849387	190	18	27
dDocent_Contig_14680	63	0.00832318	190	17	26
dDocent_Contig_14681	22	0.11244	190	14	22
dDocent_Contig_14686	30	0.0426649	190	21	29
dDocent_Contig_14687	25	0.0209901	190	7	11
dDocent_Contig_14689	80	-0.0243902	190	6	7
dDocent_Contig_1469	107	0.04	190	3	6
dDocent_Contig_14690	17	0	190	16	26
dDocent_Contig_14692	40	0	190	9	1
dDocent_Contig_1470	10	-1.13E-16	190	13	13
dDocent_Contig_14701	14	0.154494	190	7	3
dDocent_Contig_14705	27	-0.00513328	190	21	29
dDocent_Contig_14707	20	0.267686	190	9	19
dDocent_Contig_14713	185	-0.4	190	3	1
dDocent_Contig_14717	60	0	190	9	14
dDocent_Contig_14720	141	0.581902	190	4	9
dDocent_Contig_14721	132	0.0240964	190	3	9
dDocent_Contig_14724	19	0.039033	190	12	18
dDocent_Contig_14727	21	0.0874426	190	21	29
dDocent_Contig_1473	84	0	190	19	27
dDocent_Contig_14733	31	0.00922157	190	17	23
dDocent_Contig_14734	35	0.0294686	190	12	23
dDocent_Contig_14737	77	0.385941	190	10	19
dDocent_Contig_1474	16	0.00792373	190	21	29
dDocent_Contig_14745	84	0.00795021	190	21	29
dDocent_Contig_14746	26	0.456809	190	9	11
dDocent_Contig_14748	13	0	190	19	27
dDocent_Contig_1476	72	0.0299864	190	17	20
dDocent_Contig_14761	61	0	190	17	24
dDocent_Contig_14767	9	0.0488202	190	7	14
dDocent_Contig_1477	10	0.236441	190	10	18
dDocent_Contig_14770	137	0	190	4	19
dDocent_Contig_14772	20	0.0080823	190	21	29
dDocent_Contig_14778	137	0	190	19	16
dDocent_Contig_14781	144	0.0416409	190	18	27
dDocent_Contig_14782	131	0.00987235	190	21	29
dDocent_Contig_14785	166	0	190	5	14
dDocent_Contig_14794	47	0	190	7	10
dDocent_Contig_14795	108	0	190	7	6
dDocent_Contig_14799	85	0.0448548	190	15	18
dDocent_Contig_148	67	0.388472	190	21	29
dDocent_Contig_14802	28	0.0940361	190	11	20
dDocent_Contig_14805	9	0	190	10	16
dDocent_Contig_14806	22	0.311578	190	10	14
dDocent_Contig_14807	38	0.0418564	190	7	12
dDocent_Contig_14808	55	0.0830571	190	18	27
dDocent_Contig_14810	51	0	190	9	20
dDocent_Contig_14828	120	0.0482319	190	20	25
dDocent_Contig_14829	119	0.353788	190	19	29
dDocent_Contig_1483	112	-0.0158044	190	18	29
dDocent_Contig_14830	30	0.269997	190	19	15
dDocent_Contig_14831	135	0.34025	190	7	8
dDocent_Contig_14832	54	0.36654	190	10	15
dDocent_Contig_14834	40	0	190	21	29
dDocent_Contig_14836	49	0.266011	190	21	29
dDocent_Contig_14838	10	0.0531124	190	19	29
dDocent_Contig_14840	129	0.430967	190	21	29
dDocent_Contig_14842	47	0.0386997	190	18	27
dDocent_Contig_14843	45	0.0153985	190	19	25
dDocent_Contig_14845	76	0.0636615	190	12	16
dDocent_Contig_14849	121	0.28738	190	21	29
dDocent_Contig_14850	113	0.0239309	190	21	29
dDocent_Contig_14852	44	-1.09E-16	190	19	19
dDocent_Contig_14853	102	0	190	10	11
dDocent_Contig_14855	118	-0.0452653	190	7	14
dDocent_Contig_14856	113	-0.0157058	190	11	8
dDocent_Contig_14857	22	0.0719891	190	20	29
dDocent_Contig_14860	30	0.0477509	190	8	16
dDocent_Contig_14864	11	0.0694259	190	21	29
dDocent_Contig_14865	76	0.225936	190	21	29
dDocent_Contig_1487	40	0.0724027	190	18	23
dDocent_Contig_14877	79	0.0533567	190	16	24
dDocent_Contig_14878	12	0.0355935	190	14	21
dDocent_Contig_14879	72	0.0240319	190	16	13
dDocent_Contig_14880	23	0.369437	190	12	25
dDocent_Contig_14881	8	0	190	20	27
dDocent_Contig_14884	26	0.00960655	190	19	27
dDocent_Contig_14885	18	0.105295	190	21	29
dDocent_Contig_14887	8	0.244984	190	13	15
dDocent_Contig_14892	28	0.0651862	190	9	5
dDocent_Contig_14898	137	0.0797774	190	10	15
dDocent_Contig_14899	76	0.0125392	190	15	18
dDocent_Contig_149	12	-0.0197333	190	21	29
dDocent_Contig_14900	10	-0.00278236	190	21	29
dDocent_Contig_14903	25	0.0122812	190	21	27
dDocent_Contig_14906	38	0	190	21	29
dDocent_Contig_14908	30	0.0503437	190	12	13
dDocent_Contig_14915	164	-0.0171977	190	11	21
dDocent_Contig_14918	11	0.00795021	190	21	29
dDocent_Contig_1492	181	0.142327	190	9	21
dDocent_Contig_14930	17	0.0673941	190	21	29
dDocent_Contig_14933	49	-0.0502562	190	5	19
dDocent_Contig_14934	86	0.282398	190	7	16
dDocent_Contig_14936	11	0.0202997	190	12	19
dDocent_Contig_1494	67	-0.0142847	190	21	29
dDocent_Contig_14941	122	0	190	7	3
dDocent_Contig_14950	14	-0.134904	190	5	2
dDocent_Contig_14951	64	0.113682	190	8	6
dDocent_Contig_14953	42	0.36488	190	21	29
dDocent_Contig_14956	81	0.631144	190	10	19
dDocent_Contig_1496	30	0	190	9	14
dDocent_Contig_14960	178	0	190	8	12
dDocent_Contig_14962	103	-0.0056752	190	21	29
dDocent_Contig_14965	144	0.00144829	190	21	29
dDocent_Contig_14966	41	0.0370274	190	21	29
dDocent_Contig_1497	68	0.0508975	190	9	11
dDocent_Contig_14975	170	0.105472	190	21	29
dDocent_Contig_14977	152	-0.145643	190	2	11
dDocent_Contig_1498	8	0	190	17	20
dDocent_Contig_14990	87	0.151515	190	7	4
dDocent_Contig_14992	35	-0.14	190	6	2
dDocent_Contig_14994	15	0	190	8	11
dDocent_Contig_14998	23	-0.290323	190	5	2
dDocent_Contig_150	14	0.135617	190	10	13
dDocent_Contig_1500	18	0.00965901	190	20	29
dDocent_Contig_15001	22	0.206862	190	6	9
dDocent_Contig_15004	23	0.218979	190	21	29
dDocent_Contig_15008	43	0.0665007	190	9	25
dDocent_Contig_15011	17	0.122835	190	13	18
dDocent_Contig_15014	10	0.21247	190	7	13
dDocent_Contig_15015	11	0	190	18	19
dDocent_Contig_15018	49	0.100042	190	17	28
dDocent_Contig_1502	25	0.00285752	190	21	29
dDocent_Contig_15021	87	0.0188103	190	14	23
dDocent_Contig_15022	132	0	190	10	6
dDocent_Contig_15027	28	0.777778	190	6	1
dDocent_Contig_15028	21	-0.027284	190	7	5
dDocent_Contig_15030	77	0	190	8	12
dDocent_Contig_15033	21	0.109693	190	21	29
dDocent_Contig_15034	118	0.126164	190	14	16
dDocent_Contig_15037	9	0	190	19	29
dDocent_Contig_15038	78	0.195846	190	21	29
dDocent_Contig_15040	102	0.0326635	190	8	13
dDocent_Contig_15041	130	0.0982376	190	11	21
dDocent_Contig_15043	77	0.106383	190	14	21
dDocent_Contig_15045	49	0.114361	190	21	29
dDocent_Contig_15046	59	-0.0107664	190	21	29
dDocent_Contig_15049	78	0.00795021	190	21	29
dDocent_Contig_15050	18	0.0209786	190	11	17
dDocent_Contig_15051	14	-0.0405057	190	6	20
dDocent_Contig_15058	77	0.183673	190	10	20
dDocent_Contig_1506	36	0.126365	190	10	8
dDocent_Contig_15060	129	-0.0630737	190	6	8
dDocent_Contig_15062	23	0.132486	190	21	29
dDocent_Contig_15063	29	-0.00327869	190	18	17
dDocent_Contig_15064	29	-0.00434814	190	21	29
dDocent_Contig_15065	22	-0.0199343	190	8	6
dDocent_Contig_15067	101	-0.0165139	190	8	14
dDocent_Contig_15075	184	0	190	8	14
dDocent_Contig_15077	49	0	190	21	29
dDocent_Contig_1508	25	0.29683	190	17	27
dDocent_Contig_15080	9	-0.0300774	190	17	19
dDocent_Contig_15082	32	0	190	8	8
dDocent_Contig_15083	171	0	190	6	4
dDocent_Contig_15089	84	0.108669	190	15	12
dDocent_Contig_15092	72	0.0952207	190	5	4
dDocent_Contig_15093	167	0.318045	190	12	15
dDocent_Contig_15095	66	0.0989399	190	5	3
dDocent_Contig_151	31	-0.00719424	190	21	25
dDocent_Contig_15100	25	0	190	6	1
dDocent_Contig_15113	8	0.333725	190	9	18
dDocent_Contig_15115	16	0	190	6	8
dDocent_Contig_15116	14	0	190	11	15
dDocent_Contig_15117	57	-0.0174571	190	4	14
dDocent_Contig_1512	46	0.403924	190	21	29
dDocent_Contig_15126	144	0	190	8	14
dDocent_Contig_15128	114	0	190	5	2
dDocent_Contig_1513	39	0.343279	190	14	15
dDocent_Contig_15133	23	0.428377	190	8	13
dDocent_Contig_15136	25	0.0234279	190	11	9
dDocent_Contig_15137	43	0	190	7	5
dDocent_Contig_15138	24	0.067829	190	19	24
dDocent_Contig_1514	106	0.278881	190	8	13
dDocent_Contig_15144	124	0	190	12	7
dDocent_Contig_15149	28	0.0298628	190	21	29
dDocent_Contig_15151	21	0	190	7	10
dDocent_Contig_15157	53	0	190	10	15
dDocent_Contig_1516	8	0.0450067	190	17	23
dDocent_Contig_15162	60	0.0330933	190	13	22
dDocent_Contig_15163	144	0.233939	190	12	19
dDocent_Contig_15165	25	0.0409399	190	16	22
dDocent_Contig_15167	63	2.34E-17	190	9	9
dDocent_Contig_1517	30	0.240293	190	21	29
dDocent_Contig_15172	139	0.0438021	190	11	10
dDocent_Contig_15179	27	0.0932642	190	7	21
dDocent_Contig_1518	50	0.00445205	190	9	17
dDocent_Contig_15180	168	0	190	8	5
dDocent_Contig_15181	164	-0.0157058	190	8	11
dDocent_Contig_15184	20	0.143573	190	15	24
dDocent_Contig_15186	46	0.133736	190	17	19
dDocent_Contig_15187	15	0.286221	190	8	13
dDocent_Contig_15188	118	0	190	6	1
dDocent_Contig_15192	16	0.0414351	190	21	29
dDocent_Contig_15197	21	0.612503	190	10	13
dDocent_Contig_15206	60	-0.0146366	190	14	26
dDocent_Contig_15207	19	0	190	7	15
dDocent_Contig_15210	8	0.00591716	190	13	14
dDocent_Contig_15212	57	0.646218	190	21	29
dDocent_Contig_15214	123	0	190	9	22
dDocent_Contig_15219	15	0.0136229	190	21	29
dDocent_Contig_1522	16	0.0553819	190	20	29
dDocent_Contig_15226	48	0.0139785	190	6	7
dDocent_Contig_15231	28	0.0846995	190	17	18
dDocent_Contig_15236	177	0.01607	190	9	14
dDocent_Contig_15241	69	-0.039604	190	7	10
dDocent_Contig_15249	35	0.180896	190	21	22
dDocent_Contig_1525	139	0.271717	190	10	14
dDocent_Contig_15253	66	0.0164706	190	6	1
dDocent_Contig_15259	8	-0.000231233	190	21	29
dDocent_Contig_1527	72	-0.132366	190	8	4
dDocent_Contig_15271	49	0.0583181	190	7	5
dDocent_Contig_15277	37	0.172693	190	21	29
dDocent_Contig_15279	76	0.0130295	190	11	17
dDocent_Contig_15285	26	0.126365	190	8	20
dDocent_Contig_15287	32	0.0215989	190	9	19
dDocent_Contig_15294	29	0.236958	190	21	29
dDocent_Contig_15298	18	0.135607	190	14	21
dDocent_Contig_15299	138	-0.0408163	190	6	2
dDocent_Contig_153	153	0.501458	190	21	29
dDocent_Contig_15306	44	0.338124	190	18	11
dDocent_Contig_15308	118	0.00784133	190	8	9
dDocent_Contig_1531	11	0	190	8	9
dDocent_Contig_15319	43	0	190	10	14
dDocent_Contig_15325	54	0.24831	190	21	29
dDocent_Contig_15326	22	-0.013575	190	21	29
dDocent_Contig_15327	29	0.0641972	190	19	29
dDocent_Contig_15330	8	0.00970391	190	12	15
dDocent_Contig_15333	137	-0.134904	190	5	2
dDocent_Contig_15335	23	-0.000990577	190	13	22
dDocent_Contig_15339	55	0.0383232	190	16	21
dDocent_Contig_1534	27	0.822928	190	21	29
dDocent_Contig_15343	171	0	190	18	27
dDocent_Contig_15344	33	0.133513	190	8	15
dDocent_Contig_15345	176	0.182063	190	8	6
dDocent_Contig_1535	9	0.0443464	190	21	29
dDocent_Contig_15351	14	0.0561958	190	21	29
dDocent_Contig_15357	12	0.126124	190	21	29
dDocent_Contig_15358	31	0.267567	190	17	26
dDocent_Contig_15359	114	-0.010749	190	13	10
dDocent_Contig_1536	25	0.0383232	190	16	21
dDocent_Contig_15361	24	0.0379812	190	20	27
dDocent_Contig_15362	23	-0.0442514	190	15	9
dDocent_Contig_15368	17	0.00826605	190	17	24
dDocent_Contig_15369	51	0.161156	190	21	29
dDocent_Contig_1537	13	0.0894845	190	19	21
dDocent_Contig_15374	67	0.29674	190	21	29
dDocent_Contig_15379	51	0.16676	190	21	29
dDocent_Contig_1538	29	0	190	20	20
dDocent_Contig_15387	154	-0.368421	190	6	1
dDocent_Contig_15389	166	0.126362	190	21	29
dDocent_Contig_15391	32	0.717862	190	3	13
dDocent_Contig_15397	77	-0.0267313	190	10	21
dDocent_Contig_15399	11	0.0339737	190	21	29
dDocent_Contig_1540	152	0.0918958	190	20	29
