Locus,H,FST,p,quantile
1219,0.3339,0.4129979,0.022604261,0.022604261
1220,0.14497549,0.14792899,0.1975827,0.1975827
1221,0.4608391,0.36061761,0.10771016,0.10771016
1222,0.023069921,-0.005638489,0.26568228,0.73431772
1223,0.45948097,0.26025814,0.22014412,0.22014412
1224,0.406875,0.48387097,0.022306992,0.022306992
1225,0.36144928,0.25581395,0.25690422,0.25690422
1226,0.065492424,-0.068825911,4.29E-06,0.99999571
1227,0.0749,-0.12149533,1.73E-17,1
1229,0,0,-1,-1
1230,0.024073471,-0.003871312,0.29709715,0.70290285
1231,0.025910773,-0.017477817,0.091453149,0.90854685
1232,0.079704219,0.087535473,0.16299681,0.16299681
1233,0.051999263,0.022939012,0.43188969,0.43188969
1234,0.5052796,0.001709307,0.2146503,0.7853497
1235,0.095739259,0.10869027,0.14892491,0.14892491
1236,0.074096812,0.01848311,0.31631644,0.68368356
1237,0.1083944,0.13066752,0.11144273,0.11144273
1238,0.035883152,0.024611889,0.26173464,0.26173464
1239,0.15904209,0.12279705,0.31286923,0.31286923
1240,0.48813005,0.20706829,0.22880246,0.22880246
1241,0.19945882,0.22064979,0.14010626,0.14010626
1242,0.5173015,0.053761096,0.34338951,0.65661049
1243,0.11255417,0.12930811,0.13848947,0.13848947
1244,0.20634396,0.12389381,0.44350817,0.44350817
1245,0.046978836,0.035026467,0.24347199,0.24347199
1246,0.047173913,0.039016897,0.20998566,0.20998566
1248,0.067661888,0.022085259,0.38670902,0.61329098
1249,0,0,-1,-1
1250,0.45295441,-0.00121444,0.23555407,0.76444593
1251,0,0,-1,-1
1252,0,0,-1,-1
1253,0.49969098,-0.020348202,0.077264395,0.92273561
1254,0.04747962,-0.017980636,0.082247652,0.91775235
1255,0.15107659,-0.006724558,0.13613126,0.86386874
1256,0.4219038,-0.010518183,0.13210901,0.86789099
1257,0.07000203,-0.020245736,0.063408166,0.93659183
1258,0.46418847,0.046910075,0.47062734,0.52937266
1259,0.02817433,0.00618753,0.48855935,0.51144065
1260,0.087387435,-0.023867087,0.045509747,0.95449025
1261,0.52471342,0.093157812,0.38709347,0.61290653
1262,0.39650072,0.30343008,0.18936841,0.18936841
1263,0.28585224,0.27828325,0.15329709,0.15329709
1264,0.18336169,-0.019987804,0.059398327,0.94060167
1265,0.6983356,0.70582227,0.089045294,0.089045294
1266,0.45316851,0.058027986,0.46808154,0.53191846
1267,0.44102654,0.2820166,0.21983845,0.21983845
1268,0.12833333,0.008264463,0.21028253,0.78971747
1269,0.22509804,-0.024390244,0.041693393,0.95830661
1270,0.52343514,0.13018238,0.47568404,0.47568404
1271,0.059545933,-0.029586555,0.026310319,0.97368968
1272,0.022293626,0.008449176,0.42814163,0.42814163
1273,0.07,8.33E-17,0.18942407,0.81057593
1274,0,0,-1,-1
1275,0.26677291,-0.012105123,0.10850728,0.89149272
1276,0.053482534,0.05003657,0.18411516,0.18411516
1277,0.019805701,-0.009810263,0.19680353,0.80319647
1278,0.22418441,0.057363796,0.36844183,0.63155817
1279,0.053603693,0.020589872,0.48255931,0.48255931
1280,0.12369098,0.14815247,0.11605993,0.11605993
1281,0.075341231,0.075862344,0.18845267,0.18845267
1282,0.085273299,0.032071438,0.37807872,0.62192128
1283,1,1,2,
1284,0.68538021,0.719134,0.050228567,0.050228567
1285,0.039677354,0.009554788,0.4965269,0.5034731
1286,0.49955177,-0.018525394,0.08963146,0.91036854
1287,0.22681319,0.18604651,0.21347262,0.21347262
1288,0.53574585,0.1318954,0.36269073,0.63730927
1289,0.085086207,0.080851064,0.21930565,0.21930565
1290,0.45842975,0.52406706,0.021222672,0.021222672
1291,0.12709406,0.13570975,0.17063017,0.17063017
1292,0.50009378,-0.016326277,0.10417439,0.89582561
1293,0.49356854,-0.006164282,0.19909057,0.80090943
1294,0.48728414,-0.019509395,0.097270789,0.90272921
1295,0.023786384,-0.01598739,0.10775004,0.89224996
1296,0.021182692,0.008624603,0.41578897,0.41578897
1297,0.29273992,0.024634207,0.29055436,0.70944564
1298,0.31381782,0.22723091,0.27037684,0.27037684
1299,0.42842173,-0.016777924,0.094308115,0.90569188
1300,0.056359375,0.06847796,0.107683,0.107683
1301,0.18800192,0.22937996,0.087406067,0.087406067
1302,0.023634259,0.012732615,0.35330686,0.35330686
1303,0.17670635,0.16999775,0.21196185,0.21196185
1304,0.50295578,-0.004996012,0.17985936,0.82014064
1305,0.51059684,0.022228778,0.28540699,0.71459301
1306,0.25620233,-0.009612025,0.12171596,0.87828404
1307,0.51642311,0.044130953,0.32031937,0.67968063
1308,0.080826446,0.1002045,0.10740958,0.10740958
1309,0.12029749,0.011764706,0.22509454,0.77490546
1310,0.10261925,0.12059478,0.12787438,0.12787438
1311,0.1631405,0.19756839,0.10324771,0.10324771
1312,0.49290576,0.003368948,0.27227869,0.72772131
1313,0.43076926,0.030781296,0.3490162,0.6509838
1314,0.05158599,-0.022123894,0.054732108,0.94526789
1315,0.02488472,-0.013368481,0.13821396,0.86178604
1316,0.14171649,0.065801668,0.41510976,0.58489024
1317,0.29447232,0.2420317,0.19679053,0.19679053
1318,0.053351585,0.047704933,0.19847142,0.19847142
1319,0.05422476,0.031807603,0.35625126,0.35625126
1320,0.01984876,-0.007619628,0.23551673,0.76448327
1321,0.55584603,0.26564199,0.44776489,0.44776489
1322,0.14157039,0.20366937,0.023374063,0.023374063
1323,0.019885922,-0.005736636,0.27170825,0.72829175
1324,0.13827621,0.052854123,0.36038562,0.63961438
1325,0.0798,0.002770083,0.19783319,0.80216681
1326,0.048100218,0.029803424,0.30721535,0.30721535
1327,0.04905719,0.048729308,0.15656261,0.15656261
1328,0.040018365,0.045892611,0.11120914,0.11120914
1329,0.022340252,0.010518643,0.38581414,0.38581414
1330,0.36167488,0.28112231,0.19447878,0.19447878
1331,0.24335215,-0.022409389,0.050335195,0.94966481
1332,0.49969098,-0.020348202,0.077264395,0.92273561
1333,0,0,-1,-1
1334,0.048873982,0.045163409,0.17783044,0.17783044
1335,0.55619922,0.19309919,0.28488946,0.71511054
1336,0.028593614,0.02076038,0.26428784,0.26428784
1337,0,0,-1,-1
1338,0.054468226,0.010600707,0.37704055,0.62295945
1339,0.060468315,-0.019961019,0.06753269,0.93246731
1340,0.18191495,0.12855903,0.35460876,0.35460876
1341,0.80988741,0.75378121,0.44603031,0.55396969
1342,0.15156593,-0.004893964,0.14560667,0.85439333
1343,0,0,-1,-1
1344,0.28210794,0.16816709,0.4122383,0.4122383
1345,0.045415184,-0.000834028,0.28593238,0.71406762
1346,0.12984127,0.17848411,0.043889619,0.043889619
1347,0,0,-1,-1
1348,0.16115495,0.085963003,0.46378283,0.53621717
1349,0.11699101,0.040910591,0.33037638,0.66962362
1350,0.41836052,0.44265599,0.064422831,0.064422831
1351,0,0,-1,-1
1352,0.020158597,0.007867446,0.42694457,0.42694457
1353,0.2392328,0.27546168,0.099863233,0.099863233
1354,0.14106376,0.084231019,0.464579,0.464579
1355,0.6375,0.63398693,0.086403481,0.086403481
1356,0.66464646,0.69361702,0.052359243,0.052359243
1357,0.021162286,0.007668658,0.43625604,0.43625604
1358,0.4073456,0.094599911,0.48210634,0.51789366
1359,0.35376116,0.24855139,0.26529654,0.26529654
1360,0.058483516,-0.025930101,0.038976649,0.96102335
1361,0.039222146,-0.019832021,0.070173366,0.92982663
1362,0.12951441,0.037770898,0.31668119,0.68331881
1363,0.27630662,0.33442623,0.058164732,0.058164732
1364,0.28508595,-0.018376674,0.077737145,0.92226285
1365,0,0,-1,-1
1366,0.33513548,0.25089059,0.23220788,0.23220788
1367,0.16638231,0.20254188,0.095721406,0.095721406
1368,0.33590413,0.003398622,0.20149317,0.79850683
1369,0.038615702,0.011235955,0.46794911,0.46794911
1370,0.044803128,0.039896345,0.18246931,0.18246931
1371,0.56640338,0.23061738,0.30868791,0.69131209
1372,0.48994452,-0.020942932,0.084162585,0.91583742
1373,0.026196195,-0.002053941,0.32648147,0.67351853
1374,0.26888822,0.060948081,0.36897184,0.63102816
1375,0.58832765,0.29034505,0.2812061,0.7187939
1376,0.19198161,0.080875357,0.41781149,0.58218851
1377,0.12,0.076923077,0.42541296,0.42541296
1378,0.11299098,0.027402547,0.27921581,0.72078419
1379,0.25176564,0.17751325,0.3228629,0.3228629
1380,0.39182089,0.010116213,0.23770642,0.76229358
1381,0.13821068,0.1700468,0.10561933,0.10561933
1382,0.032401775,0.002903632,0.40332495,0.59667505
1383,0.21108638,-0.020942533,0.055493079,0.94450692
1385,0.022519841,-0.33215859,1.78E-139,1
1386,0.01982809,-0.008670006,0.21647672,0.78352328
1387,0,0,-1,-1
1388,0.05234123,0.029322548,0.36044289,0.36044289
1389,0.10698992,0.11357341,0.17504054,0.17504054
1390,0.50602207,0.016517848,0.28773725,0.71226275
1391,0.061631868,0.026477668,0.47317514,0.52682486
1392,0,0,-1,-1
1393,0.066011801,-0.000542604,0.19077939,0.80922061
1394,0.030723443,0.023546945,0.2440421,0.2440421
1395,0.038181818,-8.33E-17,0.32943998,0.67056002
1396,0.04049982,0.036430521,0.17565142,0.17565142
1397,0.032489941,0.005609383,0.45635491,0.54364509
1398,0.32667014,0.16323343,0.40960042,0.40960042
1399,0.49969098,-0.020348202,0.077264395,0.92273561
1400,0.10650414,0.10953029,0.18936078,0.18936078
1401,0.057647816,0.062081286,0.14941928,0.14941928
1402,0.55547629,0.60721669,0.026002837,0.026002837
1403,0.48155813,0.003573251,0.30001501,0.69998499
1404,0.13201661,0.1340899,0.19894558,0.19894558
1405,0.11345707,0.15501459,0.056708171,0.056708171
1406,0.080826446,0.1002045,0.10740958,0.10740958
1407,0.042576923,0.038843722,0.17141916,0.17141916
1408,0.75832467,0.67219856,0.41636991,0.58363009
1409,0.039316116,0.028850702,0.2353713,0.2353713
1410,0.13120879,0.15577889,0.11975804,0.11975804
1411,0.061023669,0.064737153,0.15918694,0.15918694
1412,0.11709058,-0.026737968,0.032580819,0.96741918
1413,0.42952331,0.50356415,0.020975048,0.020975048
1414,0.081716512,0.041348433,0.47616116,0.52383884
1415,0.57207505,0.23692876,0.27115387,0.72884613
1416,0.13819853,0.10614525,0.31902432,0.31902432
1417,0.020158597,0.007867446,0.42694457,0.42694457
1418,0,0,-1,-1
1419,0.039677354,0.009554788,0.4965269,0.5034731
1420,0.18635111,-0.025987526,0.032899088,0.96710091
1421,0.23178902,0.28235831,0.069017556,0.069017556
1422,0.01984876,-0.007619628,0.23551673,0.76448327
1423,0.053503345,0.014505119,0.44041157,0.55958843
1424,0.56374399,0.60886501,0.029626419,0.029626419
1425,0.1821468,0.026545818,0.26648338,0.73351662
1426,0.16730471,0.19109671,0.13268367,0.13268367
1427,0.022169786,-0.006220483,0.25714455,0.74285545
1428,0.1452135,0.062546723,0.39587904,0.60412096
1429,0.74413584,0.74992159,0.11823073,0.11823073
1430,0.17646957,-0.016949917,0.077840574,0.92215943
1431,0.54163952,0.19354505,0.46359257,0.53640743
1432,0.20980416,0.25598442,0.068717193,0.068717193
1433,0.22395927,0.11302024,0.49254877,0.49254877
1434,0.25395651,0.3085046,0.073351746,0.073351746
1435,0.62505528,0.4288293,0.40951607,0.59048393
1436,0.065492424,-0.068825911,4.29E-06,0.99999571
1437,0.01984876,-0.007619628,0.23551673,0.76448327
1438,0,0,-1,-1
1439,0.035230978,0.006556113,0.46227218,0.53772782
1440,0.026394147,0.005461309,0.48279846,0.51720154
1441,0.032489941,0.005609383,0.45635491,0.54364509
1442,0.025120456,0.016503446,0.30031452,0.30031452
1443,0.20288367,-0.044787132,0.00201065,0.99798935
1444,0.2065905,0.087949092,0.44443509,0.55556491
1445,0.4433588,0.42089793,0.073312799,0.073312799
1446,0.30025621,0.3672071,0.037192851,0.037192851
1447,0.24427941,0.31226296,0.042394929,0.042394929
1448,0.069026042,-0.050328228,0.000737276,0.99926272
1449,0.17084325,0.12933754,0.31032578,0.31032578
1450,0.021162286,0.007668658,0.43625604,0.43625604
1451,0.030672222,0.02191632,0.26298216,0.26298216
1452,0,0,-1,-1
1453,0.56095321,0.31486205,0.35859853,0.35859853
1454,0.070360925,0.048384861,0.35030032,0.35030032
1455,0.040441347,0.035037335,0.18660913,0.18660913
1456,0.79988487,0.61155124,3.41E-08,0.99999997
1457,0.16513576,-0.005435617,0.14508683,0.85491317
1458,0.099361784,0.11592633,0.13911198,0.13911198
1459,0.033074865,0.023195034,0.26200614,0.26200614
1460,0.027228099,-0.014358295,0.12416224,0.87583776
1461,0.50009378,-0.016326277,0.10417439,0.89582561
1462,0.11980324,0.13747464,0.14423903,0.14423903
1463,0.21544532,-0.016990275,0.075258228,0.92474177
1464,0.22909091,0.23809524,0.14913637,0.14913637
1465,0.029503968,-0.016812374,0.096610049,0.90338995
1466,0,0,-1,-1
1467,0.048687364,0.041503524,0.20313502,0.20313502
1468,0.02231722,0.009497469,0.40641754,0.40641754
1469,0.2189797,0.047983005,0.34053869,0.65946131
1470,0.068580984,0.03519089,0.47090516,0.47090516
1471,0.2231614,-0.009867052,0.11656214,0.88343786
1472,0.21354824,0.15052678,0.32500819,0.32500819
1473,0.54205227,0.13455902,0.27491733,0.72508267
1474,0.5554355,0.39025922,0.20685603,0.20685603
1475,0.076030701,0.084242719,0.15325856,0.15325856
1476,0.027599206,-0.086987779,2.01E-09,1
1477,0.022340252,0.010518643,0.38581414,0.38581414
1478,0.27464063,0.29908403,0.13201873,0.13201873
1479,0.031659612,-0.017770598,0.086991237,0.91300876
1480,0.49895906,-0.0208673,0.074918332,0.92508167
1481,0.072289283,0.073769735,0.17823969,0.17823969
1482,0.73841773,0.72539556,0.13743588,0.13743588
1483,0.28276705,-0.016454237,0.087530821,0.91246918
1484,0.53679374,0.45063424,0.079709066,0.079709066
1485,0.20294735,-0.044149164,0.002275879,0.99772412
1486,0.082016667,-0.024182077,0.045251931,0.95474807
1487,0.44889792,0.0103848,0.29792548,0.70207452
1488,0,0,-1,-1
1489,0.56996458,0.29324707,0.49835494,0.50164506
1490,0.07,8.33E-17,0.18942407,0.81057593
1491,0.038983957,0.020576132,0.32741774,0.32741774
1492,0.53928282,-0.047869542,1.74E-05,0.99998256
1493,0,0,-1,-1
1494,0.14903438,0.084103919,0.4973368,0.4973368
1495,0.032802118,0.015072972,0.37285099,0.37285099
1496,0.20443754,0.15101104,0.30047988,0.30047988
1497,0.91571704,0.89539402,0.47718037,0.52281963
1498,0.45485083,-0.020615133,0.085151636,0.91484836
1499,0.11508421,0.045092838,0.35823282,0.64176718
1500,0,0,-1,-1
1501,0.30862225,-0.015153959,0.097564161,0.90243584
1502,0.023581197,0.010511055,0.39544274,0.39544274
1503,0.073866667,-0.010830325,0.11733583,0.88266417
1504,0.059567568,0.002770083,0.22809352,0.77190648
1505,0.028373772,0.013173159,0.37819181,0.37819181
1506,0.11291268,-0.016837605,0.077561792,0.92243821
1507,0.49072342,-0.017857506,0.10683566,0.89316434
1509,0.49781256,0.000299086,0.23451304,0.76548696
1510,0,0,-1,-1
1511,0.50440007,0.004651368,0.23555196,0.76444804
1512,0.062145192,0.038232427,0.3846702,0.3846702
1513,0.201335,0.037617737,0.29611647,0.70388353
1514,0.068886364,-0.016166282,0.086356801,0.9136432
1515,0.22141246,0.20466283,0.18444107,0.18444107
1516,0.6489363,0.46028,0.33983421,0.66016579
1517,0.54367781,0.26242845,0.35404296,0.35404296
1518,0.20042816,0.10674867,0.49091093,0.50908907
1519,0,0,-1,-1
1520,0.10261925,0.12059478,0.12787438,0.12787438
1521,0,0,-1,-1
1522,0,0,-1,-1
1523,0.49969098,-0.020348202,0.077264395,0.92273561
1524,0.48735441,0.2745824,0.16711928,0.16711928
1525,0.49356854,-0.006164282,0.19909057,0.80090943
1526,0.14667824,0.077345538,0.4706837,0.5293163
1527,0.35811301,-0.044983607,0.002325666,0.99767433
1528,0.29384757,0.307,0.12239685,0.12239685
1529,0.36185556,0.25200356,0.2656345,0.2656345
1530,0.44045455,0.47987616,0.045331524,0.045331524
1531,0.20246154,0.26241135,0.040705449,0.040705449
1532,0.060658263,0.047487108,0.2811628,0.2811628
1533,0.41288076,0.4847731,0.02569901,0.02569901
1534,0.10004357,0.12195122,0.11525555,0.11525555
1535,0.46125998,-0.018066843,0.11047835,0.88952165
1536,0.28093549,0.059749515,0.37385208,0.62614792
1537,0.41799831,0.025514403,0.31328927,0.68671073
1538,0.14841062,0.11753119,0.29381821,0.29381821
1539,0.096126847,0.13308992,0.058721386,0.058721386
1540,0.021202619,0.009556336,0.39627342,0.39627342
1541,0.24126699,0.14011635,0.43144117,0.43144117
1542,0.74866019,0.60139319,0.064922659,0.93507734
1543,0.2591184,-0.081512376,3.53E-08,0.99999996
1544,0,0,-1,-1
1545,0.49799881,-0.020722026,0.077072378,0.92292762
1546,0.082857143,-5.55E-17,0.18320265,0.81679735
1547,0.57377495,0.43104537,0.22111498,0.22111498
1548,0,0,-1,-1
1549,0.14693237,0.17146145,0.12373926,0.12373926
1550,0.11545139,0.15115789,0.076812699,0.076812699
1551,0.12833333,0.008264463,0.21028253,0.78971747
1552,0.021182692,0.008624603,0.41578897,0.41578897
1553,0,0,-1,-1
1554,0.2786339,0.045629707,0.3378497,0.6621503
1555,0.086239257,0.10089136,0.12612284,0.12612284
1556,0.22237968,0.2056558,0.18255288,0.18255288
1557,0.084328082,0.053834052,0.42213424,0.42213424
1558,0.13310606,0.043824701,0.3356635,0.6643365
1559,0.0905625,-0.082125604,2.51E-08,0.99999997
1560,0.32798001,0.23201687,0.27248522,0.27248522
1561,0.49273244,-0.020151083,0.087285582,0.91271442
1562,0,0,-1,-1
1563,0.381875,-0.23076923,4.91E-65,1
1564,0.14497549,0.14792899,0.1975827,0.1975827
1565,0.50301257,0.087109188,0.44491309,0.44491309
1566,0.26300532,0.15542522,0.42786196,0.42786196
1567,0.49982649,-0.019797618,0.080651773,0.91934823
1568,0,0,-1,-1
1569,0.063511775,-0.014684983,0.097536134,0.90246387
1570,0.031922229,-0.009397628,0.1854223,0.8145777
1571,0,0,-1,-1
1572,0.30746096,0.39954853,0.00860706,0.00860706
1573,0.44052004,0.36292306,0.10877198,0.10877198
1574,0.33919643,0.26717557,0.18688336,0.18688336
1575,0.04049982,0.036430521,0.17565142,0.17565142
1576,0.42021487,0.24581649,0.28203251,0.28203251
1577,0.046666667,5.55E-17,0.29236033,0.70763967
1578,0.063466667,-0.32352941,1.07E-131,1
1579,0.50267971,0.10395504,0.3971503,0.3971503
1580,0.059114265,-0.020028676,0.067012909,0.93298709
1581,0.062967033,0.047120419,0.29844988,0.29844988
1582,0.086020285,0.021014249,0.29363002,0.70636998
1583,0.48027917,-0.018663001,0.10981554,0.89018446
1584,0.048671875,-0.078651685,9.20E-08,0.99999991
1585,0.020544282,-0.008274984,0.22278466,0.77721534
1586,0.51111958,0.061203259,0.42122083,0.57877917
1587,0.31869973,-0.069369249,3.51E-06,0.99999649
1588,0.25597791,0.16338935,0.39327528,0.39327528
1589,0.1124,0.039145907,0.33246105,0.66753895
1590,0.077074286,-0.010644933,0.11992553,0.88007447
1591,0.54255319,0.28787879,0.29787049,0.29787049
1592,0.24791667,0.32235294,0.031664569,0.031664569
1593,0.1040368,0.040280422,0.36124072,0.63875928
1594,0.50128293,-0.014034834,0.11842512,0.88157488
1595,0.071367187,0.027355623,0.4198105,0.5801895
1596,0.20448755,-0.022605044,0.045754978,0.95424502
1597,0.021650676,-0.14111365,6.50E-24,1
1598,0.36028395,0.43007916,0.032400977,0.032400977
1599,0,0,-1,-1
1600,0.033139201,0.025091398,0.24103541,0.24103541
1601,0.021097596,0.004625937,0.49638082,0.50361918
1602,0.50128293,-0.014034834,0.11842512,0.88157488
1603,0.030210665,-0.010448339,0.1723782,0.8276218
1604,0.17297778,0.13669065,0.28636079,0.28636079
1605,0.48584416,0.38501292,0.07854074,0.07854074
1606,0.71866599,0.62008248,0.46429722,0.53570278
1607,0.17557169,0.1186686,0.39529916,0.39529916
1608,0.49895906,-0.0208673,0.074918332,0.92508167
1609,0.035076253,-0.33043478,6.18E-138,1
1610,0.32360417,0.35105904,0.09029397,0.09029397
1611,0.021074624,0.003540929,0.47186442,0.52813558
1612,0.1084407,0.11592633,0.17272226,0.17272226
1613,0.11099185,0.13624679,0.10533468,0.10533468
1614,0.020158597,0.007867446,0.42694457,0.42694457
1615,0.0749,-0.12149533,1.73E-17,1
1616,0.12544312,0.12433495,0.20604439,0.20604439
1617,0.49089303,-0.017017686,0.11336036,0.88663964
1618,0.42008737,-0.0978957,1.31E-11,1
1619,0.032222222,2.78E-17,0.34718887,0.65281113
1620,0.044560514,0.034668957,0.22409403,0.22409403
1621,0.48436152,0.034730141,0.45521007,0.54478993
1622,0.023634259,0.012732615,0.35330686,0.35330686
1623,0.2012571,0.10174984,0.47587035,0.52412965
1624,0.52492405,0.075327241,0.32964092,0.67035908
1625,0.053265625,0.014373717,0.44174139,0.55825861
1626,0.1129966,-0.017445697,0.074305251,0.92569475
1627,0.10452936,0.026743576,0.28495157,0.71504843
1628,0,0,-1,-1
1629,0,0,-1,-1
1630,0.023496377,0.00693909,0.4687172,0.4687172
1631,0.3812019,0.12343999,0.47976058,0.47976058
1632,0.063310227,0.055930877,0.22967957,0.22967957
1633,0.22828514,-0.00306959,0.15690002,0.84309998
1634,0.047892157,0.025588536,0.35208096,0.35208096
1635,0.058737185,-0.004889673,0.17115764,0.82884236
1636,1.719,0.89528796,2,
1637,0.022293626,0.008449176,0.42814163,0.42814163
1638,0.14433943,0.17200591,0.11634883,0.11634883
1639,0,0,-1,-1
1640,0.11291268,-0.016837605,0.077561792,0.92243821
1641,0,0,-1,-1
1642,0.55539728,0.20395293,0.33183581,0.66816419
1643,0.49198068,0.046113013,0.47909836,0.52090164
1644,0.053603693,0.020589872,0.48255931,0.48255931
1645,0.20454426,0.084827116,0.43318489,0.56681511
1646,0.67362333,0.49831595,0.29169998,0.70830002
1647,0.021202619,0.009556336,0.39627342,0.39627342
1648,0.872781,0.83356288,0.36131677,0.63868323
1649,0.19525511,0.11044665,0.49204848,0.49204848
1650,0.12636997,-0.029260613,0.025286712,0.97471329
1651,0.061023669,0.064737153,0.15918694,0.15918694
1652,0,0,-1,-1
1653,0.76123754,0.66429684,0.30837145,0.69162855
1654,0.052173386,0.012886426,0.43514195,0.56485805
1655,0,0,-1,-1
1656,0.16058879,0.19269344,0.11059583,0.11059583
1657,0,0,-1,-1
1658,0.30774545,0.36311001,0.053874571,0.053874571
1660,0,0,-1,-1
1661,0.061023669,0.064737153,0.15918694,0.15918694
1662,0.12862013,0.1942446,0.010815604,0.010815604
1663,0.02888026,-0.004146078,0.27829944,0.72170056
1664,0.094583333,0.11894273,0.10182206,0.10182206
1665,0,0,-1,-1
1666,0.50009378,-0.016326277,0.10417439,0.89582561
1667,0.0622,0.07109682,0.1270256,0.1270256
1668,0.23914836,0.021545113,0.2603748,0.7396252
1669,0.11481308,0.011919351,0.22122892,0.77877108
1670,0,0,-1,-1
1671,0.019885922,-0.005736636,0.27170825,0.72829175
1672,0.13813429,0.1767209,0.082352903,0.082352903
1673,0.19720044,0.062713387,0.3704091,0.6295909
1674,0.12762527,0.04950495,0.36346353,0.63653647
1675,0.28,0.29411765,0.13902239,0.13902239
1676,0.077835294,0.040709391,0.49443495,0.49443495
1677,0.18737721,0.011231238,0.20350278,0.79649722
1678,0.098312457,0.042376269,0.38966334,0.61033666
1679,0.26986802,0.044468945,0.32776367,0.67223633
1680,0.48409026,-0.018793173,0.10570764,0.89429236
1681,0.12393361,0.03419624,0.30343882,0.69656118
1682,0.51026417,0.0479396,0.38423386,0.61576614
1683,0.47250804,0.13584888,0.33148572,0.33148572
1684,0.019867967,-0.006645505,0.25392282,0.74607718
1685,0.49799881,-0.020722026,0.077072378,0.92292762
1686,0,0,-1,-1
1687,0.024620458,-0.024245423,0.042276954,0.95772305
1688,0.020158597,0.007867446,0.42694457,0.42694457
1689,0.37170248,0.42769477,0.044430721,0.044430721
1690,0.03327953,-0.02518417,0.03793141,0.96206859
1691,0.39088513,0.041028422,0.34507651,0.65492349
1692,0.023255787,-0.003334495,0.31061457,0.68938543
1693,0.50116256,-0.002478711,0.20325444,0.79674556
1694,0.5052796,0.001709307,0.2146503,0.7853497
1695,0.33071985,-0.031084155,0.021862914,0.97813709
1696,0.025029823,0.012942192,0.35988325,0.35988325
1697,0.023069921,-0.005638489,0.26568228,0.73431772
1698,0.064615385,0.04,0.38435824,0.38435824
1699,0.023919215,-0.010345291,0.18225107,0.81774893
1700,0.16171123,0.19047619,0.12056356,0.12056356
1701,0.40997214,0.10680612,0.4959712,0.4959712
1702,0.032206213,-0.003150923,0.28808648,0.71191352
1703,0.50037154,0.078528108,0.45543598,0.45543598
1705,0.24144796,-0.085311127,6.90E-09,0.99999999
1706,0.021097596,0.004625937,0.49638082,0.50361918
1707,0.096666667,8.33E-17,0.17455656,0.82544344
1708,0.86933333,0.74233129,2.23E-05,0.99997772
1709,0,0,-1,-1
1710,0.026394147,0.005461309,0.48279846,0.51720154
1711,0.59739015,0.31109558,0.24550659,0.75449341
1712,0.52995216,0.26005544,0.25840813,0.25840813
1713,0.14637895,-0.022334895,0.052538865,0.94746113
1714,0.028373772,0.013173159,0.37819181,0.37819181
1715,0.44380085,0.063938619,0.46365015,0.53634985
1716,0.50174134,0.14144109,0.31225375,0.31225375
1717,0.15384487,0.095839336,0.44899783,0.44899783
1718,0,0,-1,-1
1719,0.2041255,0.10633727,0.4895013,0.5104987
1720,0.28013315,0.32532084,0.082546205,0.082546205
1721,0.037355372,-0.022123894,0.05416339,0.94583661
1722,0.56967682,0.22363627,0.2447898,0.7552102
1723,0.72416337,0.73102394,0.10272802,0.10272802
1724,0.09425,0.032967033,0.34315381,0.65684619
1726,0,0,-1,-1
1727,0,0,-1,-1
1728,0.52091928,0.072506327,0.36581052,0.63418948
1729,0.49931977,-0.015485074,0.11182525,0.88817475
1730,0.11119826,-0.090909091,5.38E-10,1
1731,0.095192447,-0.27433628,2.89E-93,1
1732,0.019885922,-0.005736636,0.27170825,0.72829175
1733,0.39031562,0.43507258,0.05839661,0.05839661
1734,0.082101184,0.10270046,0.10009987,0.10009987
1735,0.11143595,0.11538849,0.19006504,0.19006504
1736,0,0,-1,-1
1737,0.054231872,0.0631625,0.11876201,0.11876201
1738,0.08515873,0.021435228,0.29897609,0.70102391
1739,0.50267971,0.10395504,0.3971503,0.3971503
1740,0.21106826,0.2612261,0.05751267,0.05751267
1741,0.030277778,0.009174312,0.46315779,0.46315779
1742,0.027863837,-0.004886717,0.26721744,0.73278256
1743,0.048496732,0.037735849,0.23301297,0.23301297
1744,0.49899503,-0.011223777,0.14501166,0.85498834
1745,0.021289422,-0.00902134,0.2086296,0.7913704
1746,0,0,-1,-1
1747,0.41878447,0.052947121,0.39869795,0.60130205
1748,0.13310606,0.043824701,0.3356635,0.6643365
1749,0.19387701,0.25434574,0.037262483,0.037262483
1750,0.14494533,0.1754671,0.10520009,0.10520009
1751,0.46880131,0.38252373,0.081599379,0.081599379
1752,0.18650445,0.23119536,0.078808999,0.078808999
1753,0.026479965,0.00868448,0.45123625,0.45123625
1754,0.067362881,0.068757877,0.17306434,0.17306434
1755,0.048797403,0.009510138,0.42194459,0.57805541
1756,0.076630418,0.038640837,0.49669522,0.50330478
1757,0.053218246,0.045318937,0.21456323,0.21456323
1758,0.2221875,-0.012658228,0.099952641,0.90004736
1759,0.23101415,0.27587521,0.080349519,0.080349519
1760,0.50543108,0.052313607,0.43190444,0.56809556
1761,0,0,-1,-1
1762,0.31869973,-0.069369249,3.51E-06,0.99999649
1763,0,0,-1,-1
1764,0.21393103,-0.040669856,0.004547897,0.9954521
1765,0.10778193,0.11052283,0.1920425,0.1920425
1766,0.22292307,0.14411975,0.38594715,0.38594715
